RE1511,建立 DSA 失敗,"	"
RE1512,建立 DSA 失敗,"	"
RE1521,刪除 DSA 失敗,"	"
RE1522,刪除 DSA 失敗,"	"
RE1531,建立 DSA 索引失敗,"	"
RE1532,建立 DSA 索引失敗,"	"
RE2001,"至遠地線路不通	請稍候再執行",
RE2002,"線路不通	請稍候再重送即時通報",
RE3101,TMQ 建立失敗,"	"
RE3102,TMQ 資料讀取失敗,"	"
RE3103,TMQ 資料寫入失敗,"	"
RE3104,TMQ 刪除失敗,"	"
RE3105,TMQ 資料清除失敗,"	"
RE3106,TMQ FIND  失敗,"	"
RE3107,TMQ GET   失敗,
RE3108,TMQ FLUSH 失敗,
RE3201,NEW-TMQ 建立失敗,
RE3202,NEW-TMQ 資料讀取失敗,
RE3203,NEW-TMQ 資料寫入失敗,
RE3204,NEW-TMQ 刪除失敗,
RE3205,NEW-TMQ 資料清除失敗,
RE3206,NEW-TMQ FIND  失敗,
RE3207,NEW-TMQ GET   失敗,
RE3208,NEW-TMQ FLUSH 失敗,
RE3301,TEMP-TMQ 建立失敗,
RE3302,TEMP-TMQ 資料讀取失敗,
RE3303,TEMP-TMQ 資料寫入失敗,
RE3304,TEMP-TMQ 刪除失敗,
RE3305,TEMP-TMQ 資料清除失敗,
RE3306,TEMP-TMQ FIND  失敗
RE3307,TEMP-TMQ GET   失敗
RE3308,TEMP-TMQ FLUSH 失敗
RE3401,BATCH-TMQ 建立失敗
RE3402,BATCH-TMQ 資料讀取失敗
RE3403,BATCH-TMQ 資料寫入失敗
RE3404,BATCH-TMQ 刪除失敗
RE3405,BATCH-TMQ 資料清除失敗
RE3406,BATCH-TMQ FIND  失敗
RE3407,BATCH-TMQ GET   失敗
RE3408,BATCH-TMQ FLUSH 失敗
RE3501,ITEMP-TMQ 建立失敗
RE3502,ITEMP-TMQ 資料讀取失敗
RE3503,ITEMP-TMQ 資料寫入失敗
RE3504,ITEMP-TMQ 刪除失敗
RE3505,ITEMP-TMQ 資料清除失敗
RE3506,ITEMP-TMQ FIND  失敗
RE3507,ITEMP-TMQ GET   失敗
RE3508,ITEMP-TMQ FLUSH 失敗
RE5001,RECWSTA 建立失敗
RE5002,RECWSTA 資料讀取失敗
RE5003,RECWSTA 資料寫入失敗
RE5004,RECWSTA 刪除失敗
RE5005,RECWSTA 資料清除失敗
RE5006,RECWSTA 資料清除失敗
RE5007,RECWSTA 存取通道取消失敗
RE5008,RECWSTA 刪除失敗
RE6001,RECWCSA 建立失敗
RE6002,RECWCSA 資料讀取失敗
RE6003,RECWCSA 資料寫入失敗
RE6004,RECWCSA 刪除失敗
RE6005,RECWCSA 資料清除失敗
RE6006,RECWCSA 資料清除失敗
RE6007,RECWCSA 存取通道取消失敗
RE6008,RECWCSA 刪除失敗
REQ001,請輸入資料
RNG001,輸入資料超出範圍
RNG002,該選擇項不能當查詢鍵值
RNG003,輸入之日期不可大於系統日期
RNG004,輸入之日期必須大於系統日期
RS1001,日期錯誤
RS1004,起始日期不可大於終止日期
RS1040,輸入之作業代號項有誤，請查察
RS1041,輸入之磁帶機編號有誤，請查察
RS1042,條件輸入有誤，請查察
RS1055,擬入戶戶長統號與新戶號擇一輸入
RS1056,未輸入省市縣市代碼資料，請查察
RS1120,取得系統日期錯誤
RS1121,取得畫面資料錯誤,
RS1122,"資料被鎖住，稍後再處理                                                                         	",
RS1123,"查詢條件設定至少一項，請查察                                                             	",
RS1124,"輸入指定頁次有錯誤，請查察                                                                 	",
RS1125,"輸入統計起迄年月即可	請查察",
RS1126,"計量單位輸入有誤	請查察",
RS1127,"已輸入作業代號，無須執行作業代號資料值設定                                 	",
RS1128,今日已執行轉錄作業,"	"
RS1129,"此作業僅提供內政部處理                                                                         	",
